movieId,title,num_ratings,avg_movie_rating,year,Action,Adventure,Animation,Children,Comedy,Crime,Documentary,Drama,Fantasy,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western
1,Toy Story (1995),15521,3.9,1995,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
2,Jumanji (1995),6149,3.29,1995,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
3,Grumpier Old Men (1995),3103,3.17,1995,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
4,Waiting to Exhale (1995),610,2.9,1995,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
5,Father of the Bride Part II (1995),3129,3.08,1995,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
6,Heat (1995),6448,3.87,1995,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
7,Sabrina (1995),3050,3.38,1995,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
8,Tom and Huck (1995),287,3.18,1995,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Sudden Death (1995),968,3.01,1995,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,GoldenEye (1995),6887,3.43,1995,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11,"American President, The (1995)",4032,3.69,1995,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0
12,Dracula: Dead and Loving It (1995),988,2.68,1995,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
13,Balto (1995),447,3.3,1995,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Nixon (1995),1373,3.4,1995,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15,Cutthroat Island (1995),657,2.76,1995,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16,Casino (1995),4771,3.82,1995,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
17,Sense and Sensibility (1995),5004,3.94,1995,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
